Variant,Status,Hand,Strategy Hold,Rule Hit,Optimal Hold,Strategy EV,Optimal EV,Diff,Description
AIRPORT,PASS,2s 2c Ts Qs Ks,2c 2s Ks Qs Ts,WILD ROYAL,2c 2s Ks Qs Ts,100.0000,100.0000,0.0000,Wild Royal
AIRPORT,PASS,2s 2c 6h 6d 6s,2c 2s 6d 6h 6s,FIVE OF A KIND,2c 2s 6d 6h 6s,60.0000,60.0000,0.0000,5 of a Kind
AIRPORT,PASS,2s 2c 7h 8h 9h,2c 2s 7h 8h 9h,STRAIGHT FLUSH,2c 2s 7h 8h 9h,100.0000,100.0000,0.0000,Straight Flush
AIRPORT,FAIL,2s 2c 7h 8h 5d,2c 2s,2 DEUCES,2c 2s 7h 8h,16.0074,25.7447,9.7373,4 to Straight Flush (Conn)
AIRPORT,FAIL,2s 2c 4h 8h 3s,2c 2s,2 DEUCES,2c 2s 4h 8h,16.1508,19.4681,3.3173,2 Deuces
AIRPORT,PASS,2s Ts Js Qs Ks,2s Js Ks Qs Ts,WILD ROYAL,2s Js Ks Qs Ts,100.0000,100.0000,0.0000,Wild Royal
AIRPORT,PASS,2s 5h 5d 5s 5c,2s 5c 5d 5h 5s,FIVE OF A KIND,2s 5c 5d 5h 5s,60.0000,60.0000,0.0000,5 of a Kind
AIRPORT,PASS,2s 5h 6h 7h 8h,2s 5h 6h 7h 8h,STRAIGHT FLUSH,2s 5h 6h 7h 8h,100.0000,100.0000,0.0000,Straight Flush
AIRPORT,FAIL,2s 5h 6h 7h 9s,2s 5h 6h 7h 9s,STRAIGHT,2s 5h 6h 7h,10.0000,19.7872,9.7872,4 to Straight Flush (Conn)
AIRPORT,PASS,2s 9h 4h Th 3h,2s 3h 4h 9h Th,FLUSH,2s 3h 4h 9h Th,15.0000,15.0000,0.0000,Flush
AIRPORT,FAIL,2s Ts Js Qs 4d,2s,1 DEUCE,2s Js Qs Ts,5.0010,20.0000,14.9990,3 to Royal
AIRPORT,PASS,2s 5h 6h 7d 8c,2s 5h 6h 7d 8c,STRAIGHT,2s 5h 6h 7d 8c,10.0000,10.0000,0.0000,Straight
AIRPORT,FAIL,2s 5h 6h 9s Td,2s,1 DEUCE,2s 5h 6h,5.1920,6.4431,1.2511,3 to Straight Flush (Conn)
AIRPORT,PASS,2s 5h 5d 9s Ts,2s 5d 5h,3 OF A KIND,2s 5d 5h,9.2553,9.2553,0.0000,3 of a Kind
